image_name,question,answer
8f5d4670.jpg,What color are the leaves predominantly?,Orange
8f5d4670.jpg,How many camera cutouts are visible?,1
8f5d4670.jpg,What shape is the phone case?,Rectangular
8f5d4670.jpg,Is the background light or dark?,Light
8f5d4670.jpg,What is depicted on the case?,Leaves
cec66c4f.jpg,What shape is the rug?,Rectangular
cec66c4f.jpg,What is the dominant color of the rug?,Grey
cec66c4f.jpg,How many furniture items are touching the rug?,2
cec66c4f.jpg,Is the pattern on the rug striped or abstract?,Abstract
cec66c4f.jpg,Is the rug's texture smooth or textured?,Textured
1a8f660b.jpg,What shape is the main stone?,Round
1a8f660b.jpg,How many small stones are visible above the main stone?,3
1a8f660b.jpg,What color is the chain?,Gold
1a8f660b.jpg,Is the chain textured or smooth?,Textured
1a8f660b.jpg,What shape are the links in the chain?,Square
37c3b79f.jpg,What color is the heel patch?,Red
37c3b79f.jpg,How many shoes are shown?,1
37c3b79f.jpg,What shape are the shoelace holes?,Round
37c3b79f.jpg,What color is the majority of the shoe?,Blue
37c3b79f.jpg,Are the laces tied?,Yes
20a10011.jpg,What shape is the sun?,Circle
20a10011.jpg,How many birds are visible?,10
20a10011.jpg,What color is the sky predominantly?,Orange
20a10011.jpg,Is the image landscape or portrait?,Portrait
20a10011.jpg,What is depicted on the phone case?,Sunset
fe64a913.jpg,What color is the sole?,Grey
fe64a913.jpg,How many shoes are visible?,1
fe64a913.jpg,What shape is the toe?,Round
fe64a913.jpg,Is the shoe patterned or solid?,Patterned
fe64a913.jpg,What type of closure does the shoe have?,Slip-on
8b7c060b.jpg,How many folders are shown?,5
8b7c060b.jpg,What shape are the tabs?,Rectangular
8b7c060b.jpg,What color is the leftmost folder?,Blue
8b7c060b.jpg,Are the folders patterned or solid-colored?,Solid
8b7c060b.jpg,What color are the tabs?,White
fbb63898.jpg,What is the color of the cap?,White
fbb63898.jpg,What shape is the container?,Jug
fbb63898.jpg,How many seals are on the label?,2
fbb63898.jpg,What is the flavor of the tea?,Mango
fbb63898.jpg,What is the brand of the tea?,365
43236241.jpg,What shape is the light cover?,Globe
43236241.jpg,What color is the fixture's base?,Black
43236241.jpg,How many light bulbs are visible?,1
43236241.jpg,Is the backplate square or rectangular?,Rectangular
43236241.jpg,What material is the clear cover?,Glass
3595924e.jpg,What color is the logo?,Black
3595924e.jpg,How many words are visible?,Two
3595924e.jpg,What shape is the arrow beneath the text?,Smile
3595924e.jpg,Is the text uppercase or lowercase?,Lowercase
3595924e.jpg,What brand is this?,AmazonBasics
aa118c95.jpg,How many camera lenses are visible?,3
aa118c95.jpg,What shape are the prominent decorations?,Heart
