image_name,question,answer,generated_answer
8f5d4670.jpg,What color are the leaves predominantly?,Orange,yellow
8f5d4670.jpg,How many camera cutouts are visible?,1,none.
8f5d4670.jpg,What shape is the phone case?,Rectangular,tree
8f5d4670.jpg,Is the background light or dark?,Light,Light
8f5d4670.jpg,What is depicted on the case?,Leaves,autumn
cec66c4f.jpg,What shape is the rug?,Rectangular,Rectangle
cec66c4f.jpg,What is the dominant color of the rug?,Grey,gray
cec66c4f.jpg,How many furniture items are touching the rug?,2,none
cec66c4f.jpg,Is the pattern on the rug striped or abstract?,Abstract,Abstract
cec66c4f.jpg,Is the rug's texture smooth or textured?,Textured,Smooth.
1a8f660b.jpg,What shape is the main stone?,Round,round
1a8f660b.jpg,How many small stones are visible above the main stone?,3,none
1a8f660b.jpg,What color is the chain?,Gold,gold
1a8f660b.jpg,Is the chain textured or smooth?,Textured,Smooth
1a8f660b.jpg,What shape are the links in the chain?,Square,diamond
37c3b79f.jpg,What color is the heel patch?,Red,blue
37c3b79f.jpg,How many shoes are shown?,1,0
37c3b79f.jpg,What shape are the shoelace holes?,Round,round
37c3b79f.jpg,What color is the majority of the shoe?,Blue,blue
37c3b79f.jpg,Are the laces tied?,Yes,no
20a10011.jpg,What shape is the sun?,Circle,Sun
20a10011.jpg,How many birds are visible?,10,None.
20a10011.jpg,What color is the sky predominantly?,Orange,Orange
20a10011.jpg,Is the image landscape or portrait?,Portrait,Portrait
20a10011.jpg,What is depicted on the phone case?,Sunset,Sun
fe64a913.jpg,What color is the sole?,Grey,gray
fe64a913.jpg,How many shoes are visible?,1,None.
fe64a913.jpg,What shape is the toe?,Round,round.
fe64a913.jpg,Is the shoe patterned or solid?,Patterned,Solid.
fe64a913.jpg,What type of closure does the shoe have?,Slip-on,Velcro
8b7c060b.jpg,How many folders are shown?,5,4
8b7c060b.jpg,What shape are the tabs?,Rectangular,Rectangle
8b7c060b.jpg,What color is the leftmost folder?,Blue,red
8b7c060b.jpg,Are the folders patterned or solid-colored?,Solid,Solid.
8b7c060b.jpg,What color are the tabs?,White,Blue.
fbb63898.jpg,What is the color of the cap?,White,Mango
fbb63898.jpg,What shape is the container?,Jug,Mango.
fbb63898.jpg,How many seals are on the label?,2,None.
fbb63898.jpg,What is the flavor of the tea?,Mango,Mango
fbb63898.jpg,What is the brand of the tea?,365,Mango
43236241.jpg,What shape is the light cover?,Globe,sphere
43236241.jpg,What color is the fixture's base?,Black,black
43236241.jpg,How many light bulbs are visible?,1,1
43236241.jpg,Is the backplate square or rectangular?,Rectangular,Rectangular
43236241.jpg,What material is the clear cover?,Glass,glass
3595924e.jpg,What color is the logo?,Black,black
3595924e.jpg,How many words are visible?,Two,none.
3595924e.jpg,What shape is the arrow beneath the text?,Smile,circle
3595924e.jpg,Is the text uppercase or lowercase?,Lowercase,amazon
3595924e.jpg,What brand is this?,AmazonBasics,amazon
aa118c95.jpg,How many camera lenses are visible?,3,none.
aa118c95.jpg,What shape are the prominent decorations?,Heart,Heart
aa118c95.jpg,What color is the smaller heart?,Red,red.
aa118c95.jpg,What material does the background resemble?,Wood,wood.
aa118c95.jpg,What pattern is on the ribbon at the bottom?,Checkered,Love.
c0e96124.jpg,What shape is the phone case?,Rectangular,girl
c0e96124.jpg,How many camera cutouts are visible?,1,none.
c0e96124.jpg,What color is the case?,Brown,brown
c0e96124.jpg,"Is ""Boss"" engraved above or below ""Girl""?",Below,Boss.
c0e96124.jpg,What material does the case resemble?,Wood,wood
283d9256.jpg,What shape is the lampshade?,Cylindrical,round
283d9256.jpg,What material is the lamp's base?,Metal,metal
283d9256.jpg,How many visible bulbs are there?,1,1
283d9256.jpg,What color is the lampshade?,White,gold
283d9256.jpg,Is the lamp's body opaque or transparent?,Transparent,translucent
2cab1063.jpg,What shape is the fruit?,Round,Orange
2cab1063.jpg,How many leaves are partially covering the fruit?,2,None.
2cab1063.jpg,What color is the fruit?,Yellow,Orange
2cab1063.jpg,What is at the bottom of the case?,Buttons,Orange
2cab1063.jpg,Is the fruit smooth or rough?,Rough,Smooth.
9af55d1b.jpg,What color is the main part of the shoe?,Black,black
9af55d1b.jpg,How many eyelets are visible on each side?,6,None.
9af55d1b.jpg,What shape are the toe caps?,Rounded,round.
9af55d1b.jpg,What color are the accents?,Yellow,Black.
9af55d1b.jpg,Are the laces patterned?,Yes,no.
